%time,Cum_irr,EC_drain_PC,Rhair,Tair,Tot_PAR,pH_drain_PC
43815,0.5,3.6,62.4,21.2,0,4.6
43815.00347,0.7,3.6,61.1,21.8,0,4.6
43815.00694,0.7,3.6,67.8,21.3,0,4.6
43815.01042,0.7,3.6,65.7,21.8,0,4.6
43815.01389,0.7,3.6,63.1,21.6,0,4.6
43815.01736,0.7,3.6,63.1,21.5,0,4.6
43815.02083,0.7,3.6,65.9,21.2,0,4.6
43815.02431,0.7,3.6,64.8,21.4,0,4.6
43815.02778,0.7,3.6,63,21.3,0,4.6
43815.03125,0.7,3.6,61.9,21.5,0,4.6
43815.03472,0.7,3.6,63.4,21.1,0,4.6
43815.03819,0.7,3.6,62.7,21,0,4.6
43815.04167,0.7,3.6,61.8,21.1,0,4.6
43815.04514,0.7,3.6,61.4,21.1,0,4.6
43815.04861,0.7,3.6,61,21.1,0,4.6
43815.05208,0.7,3.6,61.9,20.7,0,4.6
43815.05556,0.7,3.6,62.1,20.8,0,4.6
43815.05903,0.7,3.6,60.9,20.9,0,4.5
43815.0625,0.7,3.6,61.1,20.7,0,4.5
43815.06597,0.7,3.6,61.7,20.6,0,4.5
43815.06944,0.7,3.6,60.5,20.9,0,4.5
43815.07292,0.7,3.6,61.7,20.5,0,4.5
43815.07639,0.7,3.6,61.9,20.7,0,4.5
43815.07986,0.7,3.6,60.4,21,0,4.5
43815.08333,0.7,3.6,62.5,20.6,0,4.5
43815.08681,0,3.6,61.7,21,0,4.5
43815.09028,0,3.6,60.2,21.1,0,4.5
43815.09375,0,3.6,63.8,20.4,0,4.5
43815.09722,0,3.6,62.9,21,0,4.5
43815.10069,0,3.6,60.8,21.4,0,4.5
43815.10417,0,3.6,66.9,20.8,0,4.5
43815.10764,0,3.6,64.5,21.2,0,4.5
43815.11111,0,3.6,62.1,21.5,0,4.5
43815.11458,0,3.6,62.9,21.2,0,4.6
43815.11806,0,3.6,62.9,21.1,0,4.6
43815.12153,0,3.6,61.6,21.4,0,4.6
43815.125,0,3.6,62.4,21.3,0,4.6
43815.12847,0,3.6,61.9,21.3,0,4.6
43815.13194,0,3.6,61.2,21.2,0,4.6
43815.13542,0,3.6,62.7,20.8,0,4.6
43815.13889,0,3.6,61.9,21,0,4.6
43815.14236,0,3.6,61,20.9,0,4.6
43815.14583,0,3.6,61.5,20.7,0,4.6
43815.14931,0,3.6,62.7,20.8,0,4.6
43815.15278,0,3.6,61.6,20.9,0,4.6
43815.15625,0,3.6,60.3,21,0,4.6
43815.15972,0,3.6,63,20.3,0,4.6
43815.16319,0,3.6,63.5,20.6,0,4.6
43815.16667,0,3.6,61.7,20.8,0,4.6
43815.17014,0,3.6,60.4,21.3,0,4.5
43815.17361,0,3.6,65.1,20.5,0,4.6
43815.17708,0,3.6,64.4,20.7,0,4.5
43815.18056,0,3.6,62.3,21.2,0,4.5
43815.18403,0,3.6,61.3,21.2,0,4.6
43815.1875,0,3.6,63,20.7,0,4.6
43815.19097,0,3.6,63.9,20.8,0,4.6
43815.19444,0,3.6,62.3,21.1,0,4.6
43815.19792,0,3.6,61,21.2,0,4.6
43815.20139,0,3.6,62.9,20.8,0,4.6
43815.20486,0,3.6,62.8,21,0,4.6
43815.20833,0,3.6,61.2,21.4,0,4.6
43815.21181,0,3.6,64,20.8,0,4.6
43815.21528,0,3.6,63.1,20.9,0,4.6
43815.21875,0,3.6,61.4,21.2,0,4.6
43815.22222,0,3.6,62.7,21.1,0,4.6
43815.22569,0,3.6,62,21.1,0,4.6
43815.22917,0,3.6,61.1,21.1,0,4.6
43815.23264,0,3.6,62.9,20.7,0,4.6
43815.23611,0,3.6,62.9,20.9,0,4.6
43815.23958,0,3.6,61.4,21.4,0,4.6
43815.24306,0,3.6,62.9,20.7,0,4.6
43815.24653,0,3.6,62.7,21,0,4.6
43815.25,0,3.6,61.1,21.2,0,4.6
43815.25347,0,3.6,61.8,21,0,4.6
43815.25694,0,3.6,60.9,21.2,0,4.6
43815.26042,0,3.6,63,20.6,0,4.6
43815.26389,0,3.6,63.1,21,0,4.6
43815.26736,0,3.6,61.8,21,0,4.6
43815.27083,0,3.6,61,20.9,0,4.6
43815.27431,0,3.6,61.5,21.1,0,4.6
43815.27778,0,3.6,60.7,21,0,4.6
43815.28125,0,3.6,62.8,20.7,0,4.6
43815.28472,0,3.6,62.4,20.8,0,4.6
43815.28819,0,3.6,61.2,21.1,0,4.6
43815.29167,0,3.6,62.1,20.9,0,4.6
43815.29514,0,3.6,61.6,21.1,0,4.6
43815.29861,0,3.6,62.3,20.8,0,4.6
43815.30208,0,3.6,62.4,21,0,4.6
43815.30556,0,3.6,61.2,21.3,0,4.6
43815.30903,0,3.6,63.5,20.8,0,4.6
43815.3125,0,3.6,63.2,20.9,0,4.6
43815.31597,0,3.6,62.2,21,0,4.6
43815.31944,0,3.6,61.4,21.2,0,4.6
43815.32292,0,3.6,62.6,20.9,0,4.6
43815.32639,0,3.6,62.2,21.1,0,4.6
43815.32986,0,3.6,61.3,21.3,0,4.6
43815.33333,0,3.6,63.2,21,0,4.6
43815.33681,0,3.6,62.5,21.1,0,4.6
43815.34028,0,3.6,61.6,21.2,0,4.6
43815.34375,0,3.6,61.3,21.2,0,4.6
43815.34722,0,3.6,63.1,20.9,0,4.6
43815.35069,0,3.6,62.4,21.1,149,4.6
43815.35417,0,3.6,61.4,21.3,149,4.6
43815.35764,0,3.6,62.8,21.3,149,4.6
43815.36111,0,3.6,61.8,21.9,149,4.6
43815.36458,0,3.6,66.9,21.1,149,4.6
43815.36806,0,3.6,66.4,22,149,4.6
43815.37153,0,3.6,64,22.2,149,4.6
43815.375,0,3.6,64.4,22.1,149,4.6
43815.37847,0,3.6,66.8,22.3,149,4.6
43815.38194,0,3.6,65.1,22.3,150,4.6
43815.38542,0,3.6,63.5,22.5,154,4.6
43815.38889,0,3.6,66.7,21.9,159,4.6
43815.39236,0,3.6,65.4,22.2,159,4.6
43815.39583,0,3.6,64.2,22.2,160,4.6
43815.39931,0,3.6,63.5,22.4,164,4.6
43815.40278,0,3.6,65.7,22,164,4.6
43815.40625,0,3.6,66,21.9,166,4.6
43815.40972,0,3.6,65.5,21.8,166,4.6
43815.41319,0,3.6,64.7,22,172,4.6
43815.41667,0,3.6,64.6,21.8,173,4.6
43815.42014,0,3.6,64.3,21.9,175,4.6
43815.42361,0,3.6,63.6,22,177,4.6
43815.42708,0,3.6,63.5,22,175,4.6
43815.43056,0,3.6,63.5,21.8,178,4.6
43815.43403,0,3.6,63.1,21.9,178,4.6
43815.4375,0,3.6,63.5,21.8,178,4.6
43815.44097,0,3.6,63.6,21.8,176,4.6
43815.44444,0,3.6,63.4,21.8,179,4.6
43815.44792,0,3.6,63.1,21.8,185,4.6
43815.45139,0,3.6,63,21.8,186,4.6
43815.45486,0,3.6,64.1,21.7,190,4.6
43815.45833,0,3.6,64.1,21.7,190,4.6
43815.46181,0,3.6,63.8,21.7,197,4.6
43815.46528,0,3.6,63.3,21.7,192,4.6
43815.46875,0,3.6,62.9,21.7,198,4.6
43815.47222,0,3.6,62.3,21.5,201,4.6
43815.47569,0,3.6,63.4,21.4,199,4.6
43815.47917,0,3.6,65.2,21.2,201,4.6
43815.48264,0,3.6,64,21.6,206,4.6
43815.48611,0,3.6,63.6,21.5,217,4.6
43815.48958,0,3.6,63.6,21.4,223,4.6
43815.49306,0,3.6,64.2,21.7,234,4.6
43815.49653,0,3.6,64.5,21.8,232,4.6
43815.5,0,3.6,64,21.6,217,4.6
43815.50347,0,3.6,64.8,21.7,212,4.6
43815.50694,0,3.6,65.6,21.7,208,4.6
43815.51042,0,3.6,65.4,21.4,208,4.6
43815.51389,0,3.6,66.5,21.2,202,4.6
43815.51736,0,3.6,66.4,21.4,209,4.6
43815.52083,0,3.6,66.6,21.4,220,4.6
43815.52431,0,3.6,67.5,21.5,221,4.6
43815.52778,0,3.6,67.4,21.4,215,4.6
43815.53125,0,3.6,67.6,21.3,207,4.6
43815.53472,0,3.6,68.2,21.3,201,4.6
43815.53819,0,3.6,68.1,21.2,201,4.6
43815.54167,0,3.6,67.8,21.2,202,4.6
43815.54514,0,3.6,68.5,21.1,203,4.6
43815.54861,0,3.6,68.2,21,203,4.6
43815.55208,0,3.6,68,21.4,204,4.6
43815.55556,0,3.6,68.5,21.1,192,4.6
43815.55903,0,3.6,68.5,21.1,188,4.6
43815.5625,0,3.6,68.4,21.1,187,4.6
43815.56597,0,3.6,68.4,21.1,187,4.6
43815.56944,0,3.6,67.8,21.1,196,4.6
43815.57292,0,3.6,68.1,21.1,193,4.6
43815.57639,0,3.6,67.8,21.1,200,4.6
43815.57986,0,3.6,67.2,21.2,210,4.6
43815.58333,0,3.6,67.9,21.2,200,4.6
43815.58681,0,3.6,68,21,192,4.6
43815.59028,0,3.6,68.1,20.9,189,4.6
43815.59375,0,3.6,68.7,20.9,140,4.6
43815.59722,0,3.6,68.7,21.1,181,4.6
43815.60069,0,3.6,68.9,20.9,189,4.6
43815.60417,0,3.6,69.4,21.2,185,4.6
