%time,Cum_irr,EC_drain_PC,Rhair,Tair,Tot_PAR,pH_drain_PC,Time_readable
12/16/2019 00:00,0.5,3.6,62.4,21.2,0,4.6,12/16/2019 00:00
12/16/2019 00:04,0.7,3.6,61.1,21.8,0,4.6,12/16/2019 00:04
12/16/2019 00:09,0.7,3.6,67.8,21.3,0,4.6,12/16/2019 00:09
12/16/2019 00:15,0.7,3.6,65.7,21.8,0,4.6,12/16/2019 00:15
12/16/2019 00:20,0.7,3.6,63.1,21.6,0,4.6,12/16/2019 00:20
12/16/2019 00:24,0.7,3.6,63.1,21.5,0,4.6,12/16/2019 00:24
12/16/2019 00:29,0.7,3.6,65.9,21.2,0,4.6,12/16/2019 00:29
12/16/2019 00:35,0.7,3.6,64.8,21.4,0,4.6,12/16/2019 00:35
12/16/2019 00:40,0.7,3.6,63.0,21.3,0,4.6,12/16/2019 00:40
12/16/2019 00:45,0.7,3.6,61.9,21.5,0,4.6,12/16/2019 00:45
12/16/2019 00:49,0.7,3.6,63.4,21.1,0,4.6,12/16/2019 00:49
12/16/2019 00:54,0.7,3.6,62.7,21.0,0,4.6,12/16/2019 00:54
12/16/2019 01:00,0.7,3.6,61.8,21.1,0,4.6,12/16/2019 01:00
12/16/2019 01:05,0.7,3.6,61.4,21.1,0,4.6,12/16/2019 01:05
12/16/2019 01:09,0.7,3.6,61.0,21.1,0,4.6,12/16/2019 01:09
12/16/2019 01:14,0.7,3.6,61.9,20.7,0,4.6,12/16/2019 01:14
12/16/2019 01:20,0.7,3.6,62.1,20.8,0,4.6,12/16/2019 01:20
12/16/2019 01:25,0.7,3.6,60.9,20.9,0,4.5,12/16/2019 01:25
12/16/2019 01:30,0.7,3.6,61.1,20.7,0,4.5,12/16/2019 01:30
12/16/2019 01:34,0.7,3.6,61.7,20.6,0,4.5,12/16/2019 01:34
12/16/2019 01:39,0.7,3.6,60.5,20.9,0,4.5,12/16/2019 01:39
12/16/2019 01:45,0.7,3.6,61.7,20.5,0,4.5,12/16/2019 01:45
12/16/2019 01:50,0.7,3.6,61.9,20.7,0,4.5,12/16/2019 01:50
12/16/2019 01:54,0.7,3.6,60.4,21.0,0,4.5,12/16/2019 01:54
12/16/2019 01:59,0.7,3.6,62.5,20.6,0,4.5,12/16/2019 01:59
12/16/2019 02:05,0.0,3.6,61.7,21.0,0,4.5,12/16/2019 02:05
12/16/2019 02:10,0.0,3.6,60.2,21.1,0,4.5,12/16/2019 02:10
12/16/2019 02:15,0.0,3.6,63.8,20.4,0,4.5,12/16/2019 02:15
12/16/2019 02:19,0.0,3.6,62.9,21.0,0,4.5,12/16/2019 02:19
12/16/2019 02:24,0.0,3.6,60.8,21.4,0,4.5,12/16/2019 02:24
12/16/2019 02:30,0.0,3.6,66.9,20.8,0,4.5,12/16/2019 02:30
12/16/2019 02:35,0.0,3.6,64.5,21.2,0,4.5,12/16/2019 02:35
12/16/2019 02:39,0.0,3.6,62.1,21.5,0,4.5,12/16/2019 02:39
12/16/2019 02:44,0.0,3.6,62.9,21.2,0,4.6,12/16/2019 02:44
12/16/2019 02:50,0.0,3.6,62.9,21.1,0,4.6,12/16/2019 02:50
12/16/2019 02:55,0.0,3.6,61.6,21.4,0,4.6,12/16/2019 02:55
12/16/2019 03:00,0.0,3.6,62.4,21.3,0,4.6,12/16/2019 03:00
12/16/2019 03:04,0.0,3.6,61.9,21.3,0,4.6,12/16/2019 03:04
12/16/2019 03:09,0.0,3.6,61.2,21.2,0,4.6,12/16/2019 03:09
12/16/2019 03:15,0.0,3.6,62.7,20.8,0,4.6,12/16/2019 03:15
12/16/2019 03:20,0.0,3.6,61.9,21.0,0,4.6,12/16/2019 03:20
12/16/2019 03:24,0.0,3.6,61.0,20.9,0,4.6,12/16/2019 03:24
12/16/2019 03:29,0.0,3.6,61.5,20.7,0,4.6,12/16/2019 03:29
12/16/2019 03:35,0.0,3.6,62.7,20.8,0,4.6,12/16/2019 03:35
12/16/2019 03:40,0.0,3.6,61.6,20.9,0,4.6,12/16/2019 03:40
12/16/2019 03:45,0.0,3.6,60.3,21.0,0,4.6,12/16/2019 03:45
12/16/2019 03:49,0.0,3.6,63.0,20.3,0,4.6,12/16/2019 03:49
12/16/2019 03:54,0.0,3.6,63.5,20.6,0,4.6,12/16/2019 03:54
12/16/2019 04:00,0.0,3.6,61.7,20.8,0,4.6,12/16/2019 04:00
12/16/2019 04:05,0.0,3.6,60.4,21.3,0,4.5,12/16/2019 04:05
12/16/2019 04:09,0.0,3.6,65.1,20.5,0,4.6,12/16/2019 04:09
12/16/2019 04:14,0.0,3.6,64.4,20.7,0,4.5,12/16/2019 04:14
12/16/2019 04:20,0.0,3.6,62.3,21.2,0,4.5,12/16/2019 04:20
12/16/2019 04:25,0.0,3.6,61.3,21.2,0,4.6,12/16/2019 04:25
12/16/2019 04:30,0.0,3.6,63.0,20.7,0,4.6,12/16/2019 04:30
12/16/2019 04:34,0.0,3.6,63.9,20.8,0,4.6,12/16/2019 04:34
12/16/2019 04:39,0.0,3.6,62.3,21.1,0,4.6,12/16/2019 04:39
12/16/2019 04:45,0.0,3.6,61.0,21.2,0,4.6,12/16/2019 04:45
12/16/2019 04:50,0.0,3.6,62.9,20.8,0,4.6,12/16/2019 04:50
12/16/2019 04:54,0.0,3.6,62.8,21.0,0,4.6,12/16/2019 04:54
12/16/2019 04:59,0.0,3.6,61.2,21.4,0,4.6,12/16/2019 04:59
12/16/2019 05:05,0.0,3.6,64.0,20.8,0,4.6,12/16/2019 05:05
12/16/2019 05:10,0.0,3.6,63.1,20.9,0,4.6,12/16/2019 05:10
12/16/2019 05:15,0.0,3.6,61.4,21.2,0,4.6,12/16/2019 05:15
12/16/2019 05:19,0.0,3.6,62.7,21.1,0,4.6,12/16/2019 05:19
12/16/2019 05:24,0.0,3.6,62.0,21.1,0,4.6,12/16/2019 05:24
