%time,Cum_irr,EC_drain_PC,Rhair,Tair,Tot_PAR,pH_drain_PC
739617.0,0.0,3.26,83.99,16.65,123.52,6.05
739617.0104166666,0.0,3.34,83.56,17.0,108.41,6.03
739617.0208333334,0.0,3.34,83.6,17.08,108.03,6.04
739617.03125,0.0,3.37,83.34,17.37,89.5,6.05
739617.0416666666,0.0,3.34,84.07,17.83,122.98,5.99
739617.0520833333,0.0,3.4,83.49,18.23,83.85,5.89
739617.0625,0.0,3.33,83.77,18.71,75.8,5.87
739617.0729166666,0.0,3.28,83.49,19.35,86.98,5.81
739617.0833333334,0.0,3.27,83.35,19.24,103.74,5.8
739617.09375,0.0,3.27,83.33,19.36,78.76,5.79
739617.1041666667,0.0,3.33,83.4,19.12,89.8,5.82
739617.1145833334,0.0,3.32,83.84,19.33,83.29,5.85
739617.125,0.0,3.36,82.87,19.54,93.97,5.79
739617.1354166666,0.0,3.42,83.1,19.39,89.22,5.87
739617.1458333334,0.0,3.41,82.27,18.99,82.87,5.91
739617.15625,0.0,3.45,82.16,19.11,75.96,5.91
739617.1666666666,0.0,3.39,82.64,18.81,82.54,5.89
739617.1770833333,0.0,3.34,83.37,19.52,97.86,5.91
739617.1875,0.0,3.4,82.86,19.65,97.39,5.99
739617.1979166666,0.0,3.42,82.93,19.13,106.24,6.0
739617.2083333334,0.0,3.53,82.75,19.71,91.74,6.04
739617.21875,0.0,3.52,83.61,19.72,94.21,6.06
739617.2291666667,0.0,3.56,83.82,20.11,98.35,5.99
739617.2395833334,0.0,3.62,83.06,20.38,113.95,6.01
739617.25,0.0,3.66,83.37,20.22,118.54,5.93
739617.2604166666,0.0,3.62,83.01,20.11,116.13,5.92
739617.2708333334,0.0,3.62,82.95,19.98,121.51,5.95
739617.28125,0.0,3.59,82.75,20.17,131.82,5.9
739617.2916666666,0.0,3.65,82.2,19.76,142.82,5.83
739617.3020833333,0.0,3.76,82.67,19.82,139.97,5.86
739617.3125,0.0,3.73,83.09,20.8,139.07,5.83
739617.3229166666,0.0,3.69,83.51,20.7,144.56,5.79
739617.3333333334,0.6,3.75,83.61,20.5,150.93,5.72
739617.34375,0.6,3.76,83.21,20.45,165.54,5.81
739617.3541666667,0.6,3.78,83.7,21.35,157.8,5.9
739617.3645833334,0.6,3.71,83.19,20.6,160.26,5.94
739617.375,0.6,3.63,83.36,20.62,173.47,5.92
739617.3854166666,0.6,3.63,82.71,20.26,179.7,5.94
739617.3958333334,0.6,3.66,82.02,20.38,204.02,5.88
739617.40625,0.6,3.67,81.44,20.53,178.37,5.87
739617.4166666666,0.6,3.72,81.17,20.65,220.97,5.95
739617.4270833333,0.6,3.74,80.83,20.56,204.37,6.02
739617.4375,0.6,3.76,80.72,20.29,211.2,6.03
739617.4479166666,0.6,3.7,80.72,20.57,222.45,6.03
739617.4583333334,0.6,3.74,80.61,20.74,228.84,6.06
739617.46875,0.6,3.81,80.77,20.59,225.95,6.14
739617.4791666667,0.6,3.78,81.34,20.76,246.88,6.1
739617.4895833334,0.6,3.75,80.35,21.07,221.91,6.13
739617.5,0.6,3.79,80.32,20.77,264.86,6.08
739617.5104166666,0.6,3.72,80.27,20.82,240.24,6.04
739617.5208333334,0.6,3.77,80.39,21.18,227.47,6.01
739617.53125,0.6,3.79,79.95,20.95,214.26,5.99
739617.5416666666,0.6,3.77,80.98,20.89,214.37,6.0
739617.5520833333,0.6,3.72,81.16,20.97,265.48,5.96
739617.5625,0.6,3.76,82.26,21.4,254.72,6.04
739617.5729166666,0.6,3.74,83.14,21.59,249.42,6.16
739617.5833333334,0.6,3.67,82.87,21.85,248.06,6.13
739617.59375,0.6,3.8,83.5,21.14,238.73,6.17
739617.6041666667,0.6,3.82,84.1,21.67,269.23,6.14
739617.6145833334,0.6,3.86,84.47,21.73,253.36,6.2
739617.625,0.6,3.91,85.13,21.68,276.73,6.16
739617.6354166666,0.6,3.85,85.69,21.76,268.6,6.19
739617.6458333334,0.6,3.74,85.46,22.03,255.14,6.22
739617.65625,0.6,3.74,85.37,22.26,276.34,6.26
739617.6666666666,0.6,3.73,85.72,21.96,217.68,6.27
739617.6770833333,0.6,3.75,85.6,22.13,255.92,6.11
739617.6875,0.6,3.78,85.82,22.03,235.48,6.12
739617.6979166666,0.6,3.81,85.72,21.86,243.76,6.18
739617.7083333334,0.6,3.79,85.21,22.52,257.46,6.14
739617.71875,0.6,3.81,85.92,23.17,242.14,6.16
739617.7291666667,0.6,3.82,86.77,23.03,238.58,6.2
739617.7395833334,0.6,3.87,88.51,22.57,248.56,6.16
739617.75,0.6,3.83,88.75,22.83,234.65,6.2
739617.7604166666,0.6,3.85,89.37,22.65,225.9,6.18
739617.7708333334,0.6,3.81,89.6,22.53,230.25,6.19
739617.78125,0.6,3.78,89.3,22.08,208.48,6.27
739617.7916666666,0.6,3.8,89.49,22.17,201.53,6.34
739617.8020833333,0.6,3.7,89.58,22.58,226.21,6.33
739617.8125,0.6,3.73,89.2,21.86,200.51,6.3
739617.8229166666,0.6,3.74,88.99,22.03,203.82,6.34
739617.8333333334,0.6,3.72,89.47,21.57,204.26,6.26
739617.84375,0.6,3.66,89.57,22.03,198.33,6.3
739617.8541666667,0.6,3.67,90.0,21.58,194.84,6.34
739617.8645833334,0.6,3.66,90.0,21.16,177.5,6.34
739617.875,0.6,3.63,89.81,20.86,147.98,6.42
739617.8854166666,0.6,3.61,89.86,21.04,159.73,6.42
739617.8958333334,0.6,3.63,89.99,21.54,166.23,6.4
739617.90625,0.6,3.58,90.0,21.3,168.71,6.43
739617.9166666666,0.6,3.56,90.0,21.2,126.4,6.44
739617.9270833333,0.6,3.64,89.57,21.82,179.57,6.4
739617.9375,0.6,3.68,89.1,21.77,158.6,6.27
739617.9479166666,0.6,3.75,89.03,21.46,129.33,6.39
739617.9583333334,0.6,3.68,89.51,21.33,121.38,6.27
739617.96875,0.6,3.69,89.33,21.15,138.29,6.22
739617.9791666667,0.6,3.71,89.89,21.36,108.39,6.25
739617.9895833334,0.6,3.78,89.79,21.26,127.52,6.33
739618.0,0.0,3.8,89.99,21.31,112.94,6.35
739618.0104166666,0.0,3.78,89.82,21.17,105.94,6.36
739618.0208333334,0.0,3.75,89.82,20.56,107.45,6.33
739618.03125,0.0,3.74,90.0,21.04,85.13,6.4
739618.0416666666,0.0,3.74,90.0,20.77,100.14,6.28
739618.0520833333,0.0,3.78,89.48,20.7,74.45,6.24
739618.0625,0.0,3.62,89.02,20.72,86.02,6.41
739618.0729166666,0.0,3.58,89.6,20.37,84.58,6.44
739618.0833333334,0.0,3.55,88.7,19.84,98.05,6.4
739618.09375,0.0,3.51,88.26,19.88,80.07,6.43
739618.1041666667,0.0,3.52,88.02,19.8,82.78,6.4
739618.1145833334,0.0,3.52,88.52,19.88,80.38,6.38
739618.125,0.0,3.55,88.87,19.81,95.56,6.35
739618.1354166666,0.0,3.56,88.64,19.6,95.33,6.32
739618.1458333334,0.0,3.56,88.43,19.6,102.33,6.36
739618.15625,0.0,3.53,88.71,19.56,102.23,6.34
739618.1666666666,0.0,3.49,88.03,19.58,76.61,6.34
739618.1770833333,0.0,3.43,89.18,19.6,106.56,6.35
739618.1875,0.0,3.43,89.22,19.45,79.95,6.32
739618.1979166666,0.0,3.42,88.83,19.28,81.75,6.32
739618.2083333334,0.0,3.44,89.53,19.23,104.02,6.3
739618.21875,0.0,3.51,88.58,19.59,84.6,6.38
739618.2291666667,0.0,3.55,88.37,19.52,111.44,6.4
739618.2395833334,0.0,3.6,88.42,19.62,104.33,6.31
739618.25,0.0,3.53,87.7,20.16,128.63,6.26
739618.2604166666,0.0,3.58,87.91,20.37,106.44,6.24
739618.2708333334,0.0,3.65,87.84,20.1,124.16,6.29
739618.28125,0.0,3.55,87.31,19.62,126.75,6.32
739618.2916666666,0.0,3.59,87.29,20.14,128.55,6.32
739618.3020833333,0.0,3.56,87.75,19.66,144.45,6.3
739618.3125,0.0,3.57,88.17,19.73,133.25,6.15
739618.3229166666,0.0,3.54,88.55,19.16,144.43,6.16
739618.3333333334,0.0,3.4,88.04,18.97,162.94,6.15
739618.34375,0.0,3.35,88.24,19.35,155.93,6.12
739618.3541666667,0.0,3.32,88.36,19.3,161.86,6.04
739618.3645833334,0.0,3.36,87.96,19.2,181.88,6.0
739618.375,0.0,3.37,86.89,18.84,169.84,5.97
739618.3854166666,0.0,3.44,86.12,19.41,206.54,5.96
739618.3958333334,0.0,3.47,85.71,19.73,199.96,5.94
739618.40625,0.0,3.53,86.18,19.6,173.42,5.88
739618.4166666666,0.0,3.5,86.63,19.78,210.53,5.81
739618.4270833333,0.0,3.44,87.31,19.93,201.23,5.87
739618.4375,0.0,3.54,87.37,20.31,211.06,5.82
739618.4479166666,0.0,3.53,87.68,20.71,209.14,5.8
739618.4583333334,0.0,3.52,87.18,20.25,222.81,5.73
739618.46875,0.0,3.5,86.54,19.92,228.62,5.79
739618.4791666667,0.0,3.52,85.17,20.03,215.1,5.71
739618.4895833334,0.0,3.51,85.24,19.97,241.02,5.68
739618.5,0.0,3.49,83.92,19.62,227.92,5.67
739618.5104166666,0.0,3.57,83.96,19.78,252.14,5.7
739618.5208333334,0.0,3.59,83.88,19.76,246.27,5.75
739618.53125,0.0,3.55,83.78,19.47,221.79,5.86
739618.5416666666,0.0,3.58,83.44,19.38,256.83,5.93
739618.5520833333,0.0,3.55,82.58,19.22,239.88,5.92
739618.5625,0.0,3.59,83.9,19.13,271.15,5.81
739618.5729166666,0.0,3.52,84.06,19.61,259.21,5.84
739618.5833333334,0.0,3.67,84.33,19.48,241.8,5.92
739618.59375,0.0,3.65,84.99,19.19,250.77,5.99
739618.6041666667,0.0,3.64,84.2,18.95,270.3,6.03
